Iteration,Queried X/ All X,Queried misclassified samples / All misclassified samples,Detected patterns / All patterns,Pattern 0 (%),Pattern 0 (% Detected),Pattern 1 (%),Pattern 1 (% Detected),Pattern 2 (%),Pattern 2 (% Detected),Pattern 3 (%),Pattern 3 (% Detected),Pattern 4 (%),Pattern 4 (% Detected),Pattern 5 (%),Pattern 5 (% Detected),Pattern 6 (%),Pattern 6 (% Detected),Pattern 7 (%),Pattern 7 (% Detected),Pattern 8 (%),Pattern 8 (% Detected),Pattern 9 (%),Pattern 9 (% Detected),Pattern 10 (%),Pattern 10 (% Detected)
79,0.33087619366728094,0.329626687847498,0.0,0.4,0.4,1.0,0.3191489361702128,0.1,0.1,0.2,0.14285714285714285,0.1,0.1,0.5,0.35714285714285715,0.8,0.2962962962962963,0.3,0.3,0.5,0.5,0.3,0.3,0.2,0.18181818181818182
80,0.3350644999162339,0.3328038125496426,0.0,0.4,0.4,1.0,0.3191489361702128,0.1,0.1,0.2,0.14285714285714285,0.1,0.1,0.5,0.35714285714285715,0.8,0.2962962962962963,0.3,0.3,0.5,0.5,0.4,0.4,0.2,0.18181818181818182
81,0.33925280616518677,0.33439237490071483,0.0,0.4,0.4,1.0,0.3191489361702128,0.1,0.1,0.2,0.14285714285714285,0.1,0.1,0.5,0.35714285714285715,0.8,0.2962962962962963,0.3,0.3,0.5,0.5,0.4,0.4,0.2,0.18181818181818182
82,0.3434411124141397,0.3375694996028594,0.0,0.4,0.4,1.0,0.3191489361702128,0.2,0.2,0.2,0.14285714285714285,0.1,0.1,0.5,0.35714285714285715,0.8,0.2962962962962963,0.3,0.3,0.5,0.5,0.4,0.4,0.2,0.18181818181818182
83,0.34762941866309266,0.34233518665607626,0.0,0.4,0.4,1.0,0.3191489361702128,0.2,0.2,0.2,0.14285714285714285,0.1,0.1,0.5,0.35714285714285715,0.8,0.2962962962962963,0.3,0.3,0.5,0.5,0.4,0.4,0.2,0.18181818181818182
84,0.35181772491204555,0.3455123113582208,0.0,0.4,0.4,1.0,0.3191489361702128,0.2,0.2,0.2,0.14285714285714285,0.1,0.1,0.5,0.35714285714285715,0.8,0.2962962962962963,0.3,0.3,0.5,0.5,0.4,0.4,0.2,0.18181818181818182
85,0.3560060311609985,0.3510722795869738,0.0,0.4,0.4,1.0,0.3404255319148936,0.2,0.2,0.2,0.14285714285714285,0.1,0.1,0.5,0.35714285714285715,0.9,0.3333333333333333,0.3,0.3,0.5,0.5,0.4,0.4,0.3,0.2727272727272727
86,0.36019433740995144,0.3550436854646545,0.0,0.4,0.4,1.0,0.3404255319148936,0.2,0.2,0.3,0.21428571428571427,0.1,0.1,0.5,0.35714285714285715,0.9,0.3333333333333333,0.3,0.3,0.5,0.5,0.4,0.4,0.3,0.2727272727272727
87,0.3643826436589043,0.35901509134233517,0.0,0.4,0.4,1.0,0.3404255319148936,0.2,0.2,0.3,0.21428571428571427,0.2,0.2,0.5,0.35714285714285715,0.9,0.3333333333333333,0.3,0.3,0.5,0.5,0.4,0.4,0.3,0.2727272727272727
88,0.36857094990785727,0.36298649722001586,0.0,0.4,0.4,1.0,0.3404255319148936,0.2,0.2,0.3,0.21428571428571427,0.2,0.2,0.5,0.35714285714285715,0.9,0.3333333333333333,0.3,0.3,0.5,0.5,0.4,0.4,0.3,0.2727272727272727
